"Date","Close Price"
2013-03-05,"       2921.30"
2013-03-06,"       2970.10"
2013-03-07,"       3004.35"
2013-03-08,"       2970.25"
2013-03-11,"       2945.75"
2013-03-12,"       2918.10"
2013-03-13,"       2863.45"
2013-03-14,"       2874.10"
2013-03-15,"       2878.25"
2013-03-18,"       2860.75"
2013-03-19,"       2856.00"
2013-03-20,"       2865.65"
2013-03-21,"       2872.80"
2013-03-22,"       2863.20"
2013-03-25,"       2852.75"
2013-03-26,"       2854.55"
2013-03-28,"       2889.35"
2013-04-01,"       2944.20"
2013-04-02,"       2969.05"
2013-04-03,"       2968.45"
2013-04-04,"       2880.05"
2013-04-05,"       2865.85"
2013-04-08,"       2831.90"
2013-04-09,"       2766.35"
2013-04-10,"       2815.65"
2013-04-11,"       2916.70"
2013-04-12,"       2296.65"
2013-04-15,"       2339.05"
2013-04-16,"       2296.25"
2013-04-17,"       2283.85"
2013-04-18,"       2295.70"
2013-04-22,"       2244.55"
2013-04-23,"       2262.25"
2013-04-25,"       2227.70"
2013-04-26,"       2212.00"
2013-04-29,"       2229.30"
2013-04-30,"       2235.45"
2013-05-02,"       2286.70"
2013-05-03,"       2307.95"
2013-05-06,"       2341.10"
2013-05-07,"       2348.80"
2013-05-08,"       2350.65"
2013-05-09,"       2361.40"
2013-05-10,"       2371.55"
2013-05-11,"       2361.95"
2013-05-13,"       2339.60"
2013-05-14,"       2350.05"
2013-05-15,"       2360.45"
2013-05-16,"       2332.60"
2013-05-17,"       2351.75"
2013-05-20,"       2372.05"
2013-05-21,"       2397.60"
2013-05-22,"       2385.30"
2013-05-23,"       2359.85"
2013-05-24,"       2347.90"
2013-05-27,"       2372.70"
2013-05-28,"       2366.20"
2013-05-29,"       2352.40"
2013-05-30,"       2341.45"
2013-05-31,"       2411.70"
2013-06-03,"       2514.10"
2013-06-04,"       2495.90"
2013-06-05,"       2461.25"
2013-06-06,"       2429.65"
2013-06-07,"       2446.80"
2013-06-10,"       2486.75"
2013-06-11,"       2475.50"
2013-06-12,"       2421.35"
2013-06-13,"       2379.90"
2013-06-14,"       2394.95"
2013-06-17,"       2422.60"
2013-06-18,"       2446.55"
2013-06-19,"       2438.35"
2013-06-20,"       2369.10"
2013-06-21,"       2418.75"
2013-06-24,"       2380.40"
2013-06-25,"       2373.90"
2013-06-26,"       2399.40"
2013-06-27,"       2482.80"
2013-06-28,"       2498.85"
2013-07-01,"       2451.00"
2013-07-02,"       2403.95"
2013-07-03,"       2404.50"
2013-07-04,"       2468.00"
2013-07-05,"       2456.20"
2013-07-08,"       2468.15"
2013-07-09,"       2498.20"
2013-07-10,"       2501.15"
2013-07-11,"       2528.35"
2013-07-12,"       2804.20"
2013-07-15,"       2742.70"
2013-07-16,"       2728.80"
2013-07-17,"       2750.85"
2013-07-18,"       2800.75"
2013-07-19,"       2847.45"
2013-07-22,"       2876.75"
2013-07-23,"       2901.95"
2013-07-24,"       2908.60"
2013-07-25,"       2915.30"
2013-07-26,"       2913.30"
2013-07-29,"       2921.20"
2013-07-30,"       2955.70"
2013-07-31,"       2969.65"
2013-08-01,"       2974.65"
2013-08-02,"       3008.80"
2013-08-05,"       3009.05"
2013-08-06,"       2987.35"
2013-08-07,"       2963.35"
2013-08-08,"       2964.55"
2013-08-12,"       3005.40"
2013-08-13,"       3083.60"
2013-08-14,"       3069.65"
2013-08-16,"       2978.40"
2013-08-19,"       3005.00"
2013-08-20,"       3006.65"
2013-08-21,"       2958.75"
2013-08-22,"       3020.20"
2013-08-23,"       3000.70"
2013-08-26,"       3030.70"
2013-08-27,"       3056.05"
2013-08-28,"       3116.25"
